prompt_id,config,app_name,start_time,end_time,gen_time,build_status,gemini_input_tokens,gemini_output_tokens,gemini_total_tokens,gemini_api_calls,anthropic_input_tokens,anthropic_output_tokens,anthropic_total_tokens,anthropic_api_calls,total_api_calls,user_prompt
1,type_check_off,plant-care-tracker,2025-12-13 07:31:35,2025-12-13 07:31:55,0min 43sec,success,2444,365,2809,3,0,0,0,0,3,"Create a simple web app called Plant Care Tracker that lets users track the condition of their plants using fun plant moods based on custom rule-based logic. Avoid using AI, ML, or external APIs."
1,lint_off,plant-care-tracker,2025-12-13 07:32:18,2025-12-13 07:32:36,0min 41sec,success,2442,368,2810,3,0,0,0,0,3,"Create a simple web app called Plant Care Tracker that lets users track the condition of their plants using fun plant moods based on custom rule-based logic. Avoid using AI, ML, or external APIs."
2,type_check_off,weather-trip-advisor,2025-12-13 07:32:59,2025-12-13 07:33:18,0min 41sec,success,2453,390,2843,3,0,0,0,0,3,"Build a simple web app that suggests if tomorrow's trip to a given city is a good idea, based on open-meteo API's weather forecast for that city."
2,lint_off,trip-advisor,2025-12-13 07:33:40,2025-12-13 07:33:57,0min 38sec,success,2373,295,2668,3,0,0,0,0,3,"Build a simple web app that suggests if tomorrow's trip to a given city is a good idea, based on open-meteo API's weather forecast for that city."
3,type_check_off,daily-tracker,2025-12-13 07:34:18,2025-12-13 07:34:36,0min 42sec,success,2389,323,2712,3,0,0,0,0,3,"Build a dashboard where users log sleep, work hours, social time, screen time, and emotional energy. Visualize patterns and suggest when to take breaks."
3,lint_off,wellbeing-dashboard,2025-12-13 07:35:00,2025-12-13 07:35:19,0min 42sec,success,2392,327,2719,3,0,0,0,0,3,"Build a dashboard where users log sleep, work hours, social time, screen time, and emotional energy. Visualize patterns and suggest when to take breaks."4.1,type_check_off,personal-book-manager,2025-12-15 07:50:35,2025-12-15 07:50:56,0min 45sec,success,2370,259,2629,3,0,0,0,0,3,"Create a web app for managing a book library where users can add, view, update, and remove books, each with details like title, author, genre, and reading status. Include user-friendly forms, list views, and the ability to search or filter books."
4.1,lint_off,book-library-manager,2025-12-15 07:51:20,2025-12-15 07:51:39,0min 21sec,success,2445,334,2779,3,0,0,0,0,3,"Create a web app for managing a book library where users can add, view, update, and remove books, each with details like title, author, genre, and reading status. Include user-friendly forms, list views, and the ability to search or filter books."
4,type_check_off,book-library-manager,2025-12-15 08:09:55,2025-12-15 08:10:14,0min 42sec,success,2356,245,2601,3,0,0,0,0,3,"Create a web app for managing a book library where users can add, view, update, and remove books, each with details like title, author, genre, and reading status. Include user-friendly forms, list views, and the ability to search or filter books."
4,lint_off,personal-book-manager,2025-12-15 08:10:37,2025-12-15 08:10:56,0min 41sec,success,2433,323,2756,3,0,0,0,0,3,"Create a web app for managing a book library where users can add, view, update, and remove books, each with details like title, author, genre, and reading status. Include user-friendly forms, list views, and the ability to search or filter books."
4,lint_and_type_check_off,book-library-manager,2025-12-15 08:14:11,2025-12-15 08:14:29,0min 42sec,success,2387,277,2664,3,0,0,0,0,3,"Create a web app for managing a book library where users can add, view, update, and remove books, each with details like title, author, genre, and reading status. Include user-friendly forms, list views, and the ability to search or filter books."
